index,cell_id,cell_line
0,ACH-001190,SK-MEL-2
1,ACH-000551,K-562
2,ACH-000552,HT29
3,ACH-000463,NCI-H460
4,ACH-000615,SK-MEL-28
5,ACH-000730,SK-MEL-5
6,ACH-000811,SK-OV-3
7,ACH-000651,SW-620
8,ACH-000147,T-47D
9,ACH-000817,RPMI-8226
10,ACH-000573,HCT116
11,ACH-000649,786-0
12,ACH-000555,A498
13,ACH-000046,ACHN
14,ACH-000288,BT-549
15,ACH-000706,EKVX
16,ACH-000232,HOP-92
17,ACH-000861,HCT-15
18,ACH-000825,HOP-62
19,ACH-000966,IGROV1
20,ACH-000969,KM12
21,ACH-000750,LOX IMVI
22,ACH-000681,A549
23,ACH-000900,NCIH23
24,ACH-000343,NCI-H522
25,ACH-000617,OVCAR-4
26,ACH-001151,OVCAR-5
27,ACH-000696,OVCAR-8
28,ACH-000019,MCF7
29,ACH-000655,SF-268
30,ACH-000376,SF-295
31,ACH-000273,SF-539
32,ACH-000504,SNB-75
33,ACH-000579,UACC-257
34,ACH-000090,PC-3
35,ACH-000425,UACC62
36,ACH-000428,UO-31
37,ACH-000367,NCI-H226
38,ACH-000768,MDA-MB-231
