index,druga_smi,drugb_smi,cell_id,synergy
0,0.0,1,0,-2.395
1,0.0,2,0,1.5075
2,0.0,5,0,8.2525
3,0.0,7,0,6.0575
4,0.0,9,0,4.92
5,0.0,23,0,11.155
6,0.0,13,0,13.5325
7,1.0,2,0,1.05
8,1.0,7,0,3.5625
9,1.0,23,0,12.895
10,1.0,14,0,2.6475
11,2.0,7,0,-1.815
12,2.0,23,0,13.4575
13,2.0,14,0,2.4525
14,3.0,1,0,5.385
15,3.0,2,0,2.6975
16,3.0,5,0,-0.9
17,3.0,7,0,11.3325
18,3.0,9,0,4.18
19,3.0,23,0,17.79
20,3.0,13,0,16.935
21,4.0,1,0,-0.0825
22,4.0,2,0,1.65
23,4.0,5,0,0.31
24,4.0,7,0,0.9525
25,4.0,9,0,3.115
26,4.0,23,0,-0.9275
27,4.0,13,0,-1.125
28,5.0,1,0,-1.195
29,5.0,2,0,5.085
30,5.0,7,0,6.1575
31,5.0,23,0,8.445
32,5.0,14,0,13.74
33,6.0,1,0,3.95
34,6.0,2,0,-0.1675
35,6.0,5,0,2.54
36,6.0,7,0,9.53
37,6.0,9,0,3.5975
38,6.0,23,0,3.7175
39,6.0,13,0,3.4675
40,7.0,23,0,16.7075
41,7.0,14,0,7.5
42,8.0,1,0,10.09
43,8.0,2,0,2.7175
44,8.0,5,0,8.84
45,8.0,7,0,9.8775
46,8.0,9,0,5.9925
47,8.0,23,0,3.0975
48,8.0,13,0,8.2875
49,9.0,1,0,1.7725
50,9.0,2,0,7.1
51,9.0,5,0,5.1075
52,9.0,7,0,9.875
53,9.0,23,0,20.58
54,9.0,14,0,10.4225
55,10.0,1,0,2.6525
56,10.0,2,0,-0.5275
57,10.0,5,0,-0.415
58,10.0,7,0,10.9925
59,10.0,9,0,4.47
60,10.0,23,0,17.3525
61,10.0,13,0,13.2575
62,11.0,1,0,-2.4275
63,11.0,2,0,5.06
64,11.0,5,0,3.2875
65,11.0,7,0,-6.2425
66,11.0,9,0,0.105
67,11.0,23,0,1.55
68,11.0,13,0,-2.5225
69,12.0,1,0,2.1075
70,12.0,2,0,0.645
71,12.0,5,0,-2.2525
72,12.0,7,0,3.855
73,12.0,9,0,0.375
74,12.0,23,0,3.4675
75,12.0,13,0,5.6075
76,13.0,1,0,5.2975
77,13.0,2,0,16.3975
78,13.0,5,0,14.34
79,13.0,7,0,10.5975
80,13.0,9,0,24.8375
81,13.0,23,0,12.515
82,13.0,14,0,3.2725
83,14.0,23,0,8.77
84,15.0,1,0,4.51
85,15.0,2,0,-1.2525
86,15.0,5,0,8.9775
87,15.0,7,0,3.1475
88,15.0,9,0,2.5875
89,15.0,23,0,15.8075
90,15.0,13,0,7.7925
91,16.0,1,0,0.125
92,16.0,2,0,-1.34
93,16.0,5,0,3.5475
94,16.0,7,0,3.07
95,16.0,9,0,1.25
96,16.0,23,0,5.005
97,16.0,13,0,3.1575
98,0.0,1,1,2.3325
99,0.0,2,1,11.825
100,0.0,5,1,15.215
101,0.0,7,1,4.1725
102,0.0,9,1,15.875
103,0.0,23,1,5.4125
104,0.0,13,1,10.6925
105,1.0,2,1,4.33
106,1.0,7,1,3.0325
107,1.0,23,1,3.0225
108,1.0,14,1,5.575
109,2.0,7,1,6.5325
110,2.0,23,1,13.57
111,2.0,14,1,7.215
112,3.0,1,1,1.5225
113,3.0,2,1,5.5075
114,3.0,5,1,3.7525
115,3.0,7,1,3.005
116,3.0,9,1,4.5975
117,3.0,23,1,2.0025
118,3.0,13,1,5.795
119,4.0,1,1,4.1825
120,4.0,2,1,7.6625
121,4.0,5,1,6.0
122,4.0,7,1,2.6175
123,4.0,9,1,8.875
124,4.0,23,1,-0.3575
125,4.0,13,1,-0.38
126,5.0,1,1,2.68
127,5.0,2,1,11.615
128,5.0,7,1,5.6025
129,5.0,23,1,8.295
130,5.0,14,1,13.0275
131,6.0,1,1,3.64
132,6.0,2,1,9.715
133,6.0,5,1,9.72
134,6.0,7,1,3.5125
135,6.0,9,1,12.05
136,6.0,23,1,1.675
137,6.0,13,1,2.3025
138,7.0,23,1,2.2275
139,7.0,14,1,3.3425
140,8.0,1,1,2.8025
141,8.0,2,1,5.885
142,8.0,5,1,4.76
143,8.0,7,1,0.7825
144,8.0,9,1,5.7025
145,8.0,23,1,0.2475
146,8.0,13,1,2.825
147,9.0,1,1,5.6925
148,9.0,2,1,19.5325
149,9.0,5,1,9.385
150,9.0,7,1,6.77
151,9.0,23,1,7.7375
152,9.0,14,1,10.205
153,10.0,1,1,0.645
154,10.0,2,1,10.49
155,10.0,5,1,4.5225
156,10.0,7,1,1.3575
157,10.0,9,1,4.83
158,10.0,23,1,5.6425
159,10.0,13,1,11.5225
160,11.0,1,1,0.7725
161,11.0,2,1,2.15
162,11.0,5,1,2.595
163,11.0,7,1,-1.18
164,11.0,9,1,2.33
165,11.0,23,1,0.8175
166,11.0,13,1,-0.14
167,12.0,1,1,2.215
168,12.0,2,1,11.8525
169,12.0,5,1,4.1875
170,12.0,7,1,0.67
171,12.0,9,1,5.665
172,12.0,23,1,5.3925
173,12.0,13,1,6.03
174,13.0,1,1,6.1425
175,13.0,2,1,15.355
176,13.0,5,1,12.2275
177,13.0,7,1,6.17
178,13.0,9,1,17.3475
179,13.0,23,1,2.3625
180,13.0,14,1,3.3675
181,14.0,23,1,3.0325
182,15.0,1,1,4.2425
183,15.0,2,1,9.4425
184,15.0,5,1,10.5925
185,15.0,7,1,3.0275
186,15.0,9,1,8.0425
187,15.0,23,1,5.5925
188,15.0,13,1,6.3175
189,16.0,1,1,2.22
190,16.0,2,1,6.845
191,16.0,5,1,5.4375
192,16.0,7,1,1.44
193,16.0,9,1,5.8925
194,16.0,23,1,1.69
195,16.0,13,1,5.1375
196,0.0,1,2,0.9975
197,0.0,2,2,0.1925
198,0.0,5,2,1.12
199,0.0,7,2,6.2925
200,0.0,9,2,-0.8575
201,0.0,23,2,7.2025
202,0.0,13,2,7.425
203,1.0,2,2,-1.65
204,1.0,7,2,3.785
205,1.0,23,2,8.0675
206,1.0,14,2,-4.8325
207,2.0,7,2,9.8675
208,2.0,23,2,13.25
209,2.0,14,2,6.125
210,3.0,1,2,3.32
211,3.0,2,2,13.6625
212,3.0,5,2,-1.9475
213,3.0,7,2,5.59
214,3.0,9,2,0.11
215,3.0,23,2,13.375
216,3.0,13,2,16.555
217,4.0,1,2,-0.1025
218,4.0,2,2,-4.7025
219,4.0,5,2,-5.645
220,4.0,7,2,-2.4225
221,4.0,9,2,-3.9125
222,4.0,23,2,-16.425
223,4.0,13,2,-17.505
224,5.0,1,2,-0.2325
225,5.0,2,2,-2.415
226,5.0,7,2,10.1875
227,5.0,23,2,8.5525
228,5.0,14,2,15.61
229,6.0,1,2,0.0675
230,6.0,2,2,5.2025
231,6.0,5,2,6.8
232,6.0,7,2,0.365
233,6.0,9,2,3.175
234,6.0,23,2,1.3875
235,6.0,13,2,-1.3525
236,7.0,23,2,6.835
237,7.0,14,2,-0.8975
238,8.0,1,2,1.86
239,8.0,2,2,2.8825
240,8.0,5,2,0.41
241,8.0,7,2,0.23
242,8.0,9,2,-1.6825
243,8.0,23,2,1.2675
244,8.0,13,2,1.7075
245,9.0,1,2,3.1625
246,9.0,2,2,-3.375
247,9.0,5,2,-5.1725
248,9.0,7,2,9.0575
249,9.0,23,2,7.975
250,9.0,14,2,6.255
251,10.0,1,2,-0.7575
252,10.0,2,2,-2.735
253,10.0,5,2,-3.3975
254,10.0,7,2,0.9775
255,10.0,9,2,-2.0175
256,10.0,23,2,8.3
257,10.0,13,2,4.9275
258,11.0,1,2,3.4575
259,11.0,2,2,0.2
260,11.0,5,2,10.26
261,11.0,7,2,5.0325
262,11.0,9,2,9.2575
263,11.0,23,2,6.9325
264,11.0,13,2,-2.295
265,12.0,1,2,-0.9375
266,12.0,2,2,5.08
267,12.0,5,2,9.9375
268,12.0,7,2,-0.54
269,12.0,9,2,17.83
270,12.0,23,2,10.055
271,12.0,13,2,8.3475
272,13.0,1,2,2.7225
273,13.0,2,2,14.285
274,13.0,5,2,7.29
275,13.0,7,2,9.9425
276,13.0,9,2,9.1225
277,13.0,23,2,9.525
278,13.0,14,2,2.1075
279,14.0,23,2,11.225
280,15.0,1,2,1.4525
281,15.0,2,2,-0.4475
282,15.0,5,2,9.4075
283,15.0,7,2,4.5025
284,15.0,9,2,6.7325
285,15.0,23,2,11.075
286,15.0,13,2,0.17
287,16.0,1,2,1.515
288,16.0,2,2,6.54
289,16.0,5,2,12.69
290,16.0,7,2,8.6425
291,16.0,9,2,13.7925
292,16.0,23,2,8.6825
293,16.0,13,2,4.41
294,0.0,1,3,1.1375
295,0.0,2,3,4.4575
296,0.0,5,3,-1.1275
297,0.0,7,3,1.09
298,0.0,9,3,-1.61
299,0.0,23,3,5.51
300,0.0,13,3,10.085
301,1.0,2,3,1.795
302,1.0,7,3,3.9875
303,1.0,23,3,3.91
304,1.0,14,3,5.7625
305,2.0,7,3,-4.565
306,2.0,23,3,6.7125
307,2.0,14,3,2.89
308,3.0,1,3,-5.1325
309,3.0,2,3,5.3275
310,3.0,5,3,-3.7175
311,3.0,7,3,-2.92
312,3.0,9,3,5.6325
313,3.0,23,3,11.0975
314,3.0,13,3,-4.3175
315,4.0,1,3,0.2175
316,4.0,2,3,0.9475
317,4.0,5,3,0.125
318,4.0,7,3,-1.35
319,4.0,9,3,6.675
320,4.0,23,3,-2.3
321,4.0,13,3,-1.97
322,5.0,1,3,1.0425
323,5.0,2,3,-2.6875
324,5.0,7,3,4.61
325,5.0,23,3,8.37
326,5.0,14,3,9.645
327,6.0,1,3,4.3175
328,6.0,2,3,5.6375
329,6.0,5,3,4.815
330,6.0,7,3,6.0475
331,6.0,9,3,8.3425
332,6.0,23,3,7.22
333,6.0,13,3,5.26
334,7.0,23,3,8.285
335,7.0,14,3,2.3775
336,8.0,1,3,1.6575
337,8.0,2,3,-0.09
338,8.0,5,3,0.0225
339,8.0,7,3,-0.17
340,8.0,9,3,2.6025
341,8.0,23,3,-0.735
342,8.0,13,3,1.7975
343,9.0,1,3,1.9975
344,9.0,2,3,3.7375
345,9.0,5,3,-3.0825
346,9.0,7,3,8.405
347,9.0,23,3,9.415
348,9.0,14,3,5.7925
349,10.0,1,3,1.915
350,10.0,2,3,-0.485
351,10.0,5,3,-0.5225
352,10.0,7,3,2.565
353,10.0,9,3,-3.8075
354,10.0,23,3,7.535
355,10.0,13,3,3.1675
356,11.0,1,3,2.565
357,11.0,2,3,-7.365
358,11.0,5,3,-9.41
359,11.0,7,3,-0.8175
360,11.0,9,3,-5.3675
361,11.0,23,3,1.2725
362,11.0,13,3,-4.515
363,12.0,1,3,2.9075
364,12.0,2,3,0.23
365,12.0,5,3,1.3275
366,12.0,7,3,0.16
367,12.0,9,3,7.1325
368,12.0,23,3,2.2925
369,12.0,13,3,0.47
370,13.0,1,3,4.66
371,13.0,2,3,-2.7175
372,13.0,5,3,-1.61
373,13.0,7,3,9.065
374,13.0,9,3,9.74
375,13.0,23,3,4.355
376,13.0,14,3,4.755
377,14.0,23,3,7.755
378,15.0,1,3,4.1575
379,15.0,2,3,-2.505
380,15.0,5,3,6.4625
381,15.0,7,3,2.83
382,15.0,9,3,3.145
383,15.0,23,3,7.5775
384,15.0,13,3,1.815
385,16.0,1,3,2.5525
386,16.0,2,3,-4.01
387,16.0,5,3,0.765
388,16.0,7,3,1.91
389,16.0,9,3,2.7675
390,16.0,23,3,1.855
391,16.0,13,3,-0.795
392,0.0,1,4,7.72
393,0.0,2,4,5.1975
394,0.0,5,4,3.96
395,0.0,7,4,3.05
396,0.0,9,4,2.7075
397,0.0,23,4,-2.4225
398,0.0,13,4,6.7175
399,1.0,2,4,13.38
400,1.0,7,4,19.7325
401,1.0,23,4,6.135
402,1.0,14,4,10.055
403,2.0,7,4,4.4575
404,2.0,23,4,2.52
405,2.0,14,4,2.4375
406,3.0,1,4,18.53
407,3.0,2,4,2.9575
408,3.0,5,4,3.33
409,3.0,7,4,1.9725
410,3.0,9,4,4.3775
411,3.0,23,4,2.07
412,3.0,13,4,11.0825
413,4.0,1,4,10.2525
414,4.0,2,4,12.815
415,4.0,5,4,-11.0325
416,4.0,7,4,4.1725
417,4.0,9,4,4.1975
418,4.0,23,4,-10.72
419,4.0,13,4,1.15
420,5.0,1,4,13.12
421,5.0,2,4,7.47
422,5.0,7,4,3.755
423,5.0,23,4,-0.4275
424,5.0,14,4,2.3525
425,6.0,1,4,12.6875
426,6.0,2,4,0.13
427,6.0,5,4,3.8025
428,6.0,7,4,-0.675
429,6.0,9,4,8.65
430,6.0,23,4,-1.47
431,6.0,13,4,6.58
432,7.0,23,4,1.5125
433,7.0,14,4,4.8825
434,8.0,1,4,14.2025
435,8.0,2,4,21.1325
436,8.0,5,4,5.97
437,8.0,7,4,15.8
438,8.0,9,4,5.29
439,8.0,23,4,-0.405
440,8.0,13,4,5.0725
441,9.0,1,4,22.55
442,9.0,2,4,7.475
443,9.0,5,4,0.9425
444,9.0,7,4,12.2875
445,9.0,23,4,3.265
446,9.0,14,4,-1.9275
447,10.0,1,4,4.1925
448,10.0,2,4,3.7875
449,10.0,5,4,3.35
450,10.0,7,4,1.8425
451,10.0,9,4,7.1575
452,10.0,23,4,2.8025
453,10.0,13,4,10.225
454,11.0,1,4,4.5225
455,11.0,2,4,2.3075
456,11.0,5,4,1.3725
457,11.0,7,4,1.78
458,11.0,9,4,2.4075
459,11.0,23,4,-1.535
460,11.0,13,4,-0.5325
461,12.0,1,4,14.225
462,12.0,2,4,3.3375
463,12.0,5,4,7.965
464,12.0,7,4,2.1225
465,12.0,9,4,20.705
466,12.0,23,4,1.58
467,12.0,13,4,13.355
