index,Drug_Name,Entry_ID
0,(R)-(-)-Rolipram,"P27815,Q14432"
1,(R)-Bicalutamide,P10275
2,5-FU,"P11511,P04818"
3,A-674563,"O00444,O14578,O14730,O14976,O43293,O43318,O75385,O75582,O75676,O76039,O94806,O94921,O95819,O95835,O96013,O96017,P07949,P15735,P17612,P19525,P19784,P22694,P23443,P24723,P31749,P32298,P46734,P48729,P49336,P49759,P49760,P49840,P49841,P50613,P50750,P51817,P52333,P53355,P68400,P78356,P78362,P78368,Q00537,Q02156,Q04759,Q05655,Q07002,Q09013,Q13188,Q13237,Q13464,Q13554,Q13627,Q13976,Q14004,Q15746,Q16512,Q16513,Q16566,Q16816,Q2M2I8,Q32MK0,Q56UN5,Q5S007,Q5VT25,Q6DT37,Q7L7X3,Q86V86,Q86Y07,Q86YV6,Q86Z02,Q8IU85,Q8IVW4,Q8IYT8,Q8N4C8,Q8N5S9,Q8N752,Q8NE63,Q8TD08,Q8WTQ7,Q92630,Q96BR1,Q96Q40,Q96RR4,Q96SB4,Q99755,Q9BRS2,Q9BVS4,Q9BWU1,Q9BYT3,Q9H093,Q9H2K8,Q9H2X6,Q9H422,Q9HAZ1,Q9HBH9,Q9HCP0,Q9NQU5,Q9NRM7,Q9NSY1,Q9NWZ3,Q9P1W9,Q9P286,Q9UEE5,Q9UIK4,Q9UPE1,Q9UPZ9,Q9UQB9,Q9UQM7,Q9Y243,Q9Y5S2,Q9Y6M4"
4,ABIRATERONE,"P05093,P08684,P08686,P11511,P15538,P19099"
5,ADAPALENE,"P10276,P10826,P13631"
6,AGOMELATINE,"P28223,P28335,P41595,P48039,P49286"
7,ALLOPURINOL,P47989
8,AMANTADINE,Q99720
9,AMD 473,O15439
10,AMFEBUTAMONE HCL,"P02708,P23975,P31645,P32297,P35348,P36544,Q01959"
11,AMG-208,"P00533,P08581,P08684"
12,AMINOGLUTETHIMIDE,P11511
13,AMISULPRIDE,"P08913,P14416,P18825,P21917,P28221,P28222,P28223,P34969,P35462,P41595,P50406"
14,AMOXAPINE,"P14416,P21917,P23975,P31645,P34969,P35462,P50406,Q01959,Q9H3N8"
15,ANASTROZOLE,P11511
16,ANDARINE,P10275
17,APIGENIN,"P00915,P00918,P02766,P04798,P05164,P05177,P10275,P11309,P11511,P13569,P14061,P22303,P22748,P27487,P28074,P35354,P43405,P47989,P49841,P53779,P56817,P68400,Q00534,Q15078,Q16678,Q8NEV1,Q96GD4,Q9HBH9,Q9NPH5,Q9UNQ0"
18,APIXABAN,"P00734,P00742,P07477"
19,ARECOLINE,"P08912,P11229,P20309,Q8TDD5"
20,ARIPIPRAZOLE,"P05129,P07305,P07550,P08172,P08173,P08588,P08908,P08912,P08913,P11229,P14416,P18089,P18825,P20309,P21728,P21917,P21918,P23975,P28221,P28222,P28223,P28335,P28566,P31645,P34969,P35348,P35367,P35368,P35462,P41595,P47898,P50406,Q01959,Q12809,Q9Y5N1"
21,ASENAPINE,"P07550,P08172,P08588,P08908,P08913,P14416,P18089,P18825,P20366,P21731,P21917,P28221,P28222,P28223,P28335,P28566,P31645,P35348,P35367,P35462,P41595"
22,ASPIRIN,"P23219,P35354"
23,AT-7519,"O60563,O94921,P06493,P11802,P24941,P49841,P50750,P51946,Q00534,Q00535,Q00536,Q15078"
24,AZACYTIDINE,"P0DMS8,P30542"
25,Adenosine,"O00337,O43318,O43868,P07900,P0DMS8,P29274,P29275,P30542,Q9HAS3"
26,Afatinib,"O14578,O14976,O15197,O94804,P00519,P00533,P08581,P08631,P08922,P15735,P21860,P42685,P45984,P51451,P53779,Q12809,Q13163,Q13627,Q15303,Q16539,Q16816,Q52WX2,Q8NE63,Q92630,Q9BUB5,Q9H2G2,Q9HBH9,Q9UEE5,Q9UF33,Q9UK32"
27,Alendronate,P14324
28,Aminocaproic acid,P00747
29,Aprepitant,"P08684,P25103,P29371"
30,Atropine,"P08912,P20309"
31,BETAXOLOL,P08588
32,BEXAROTENE,"P10276,P10826,P13631,P19793,P28702,P48443"
33,BICALUTAMIDE,P10275
34,BISOPROLOL,"P07550,P08588,P13945"
35,BORTEZOMIB,"O15379,O43570,P00915,P00918,P07451,P08246,P08311,P20618,P22748,P23946,P28062,P28074,P35218,P43166,P43686,P49721,Q13547,Q16790,Q92769,Q9BY41,Q9ULX7,Q9Y2D0"
36,BOSUTINIB (SKI-606),"O00506,O14578,O14730,O14757,O14936,O14976,O15197,O43283,O43318,O60285,O60674,O75116,O75385,O94804,O94806,O94921,O95819,O96017,P00519,P00533,P07947,P07948,P07949,P08581,P08631,P08922,P09619,P0C1S8,P12931,P15735,P16234,P21860,P23443,P29317,P29320,P29322,P29323,P29376,P29597,P30291,P32298,P35590,P36507,P41240,P42679,P42680,P42684,P42685,P43403,P43405,P45985,P46734,P48729,P49759,P49760,P50613,P51451,P51812,P51813,P52333,P52564,P53350,P54753,P54756,P54760,P54762,P54764,P57058,P57059,P80370,Q02156,Q02750,Q02763,Q04759,Q05397,Q05655,Q06187,Q06418,Q07912,Q08345,Q08881,Q09013,Q12852,Q12866,Q13163,Q13188,Q13233,Q13464,Q13873,Q14164,Q15303,Q15349,Q15746,Q16512,Q16513,Q16584,Q16816,Q16832,Q2M2I8,Q56UN5,Q59H18,Q5S007,Q6PHR2,Q6XUX3,Q7L7X3,Q86UE8,Q86Y07,Q86Z02,Q8IU85,Q8IVH8,Q8IY84,Q8IYT8,Q8N4C8,Q8N752,Q8NE63,Q8NEV4,Q8NFD2,Q8NG66,Q8TDR2,Q8WTQ7,Q8WU08,Q8WXR4,Q92918,Q96Q40,Q96RR4,Q99640,Q99755,Q99759,Q9BQI3,Q9BRS2,Q9BXA7,Q9BYT3,Q9C098,Q9H093,Q9H0K1,Q9H2G2,Q9H2K8,Q9H2X6,Q9H3Y6,Q9H422,Q9HAZ1,Q9NRP7,Q9NSY1,Q9NWZ3,Q9NYL2,Q9NYY3,Q9P289,Q9P2K8,Q9UBE8,Q9UEW8,Q9UF33,Q9UHD2,Q9UK32,Q9UKI8,Q9UM73,Q9UNQ0,Q9UPE1,Q9UQM7,Q9Y2H9,Q9Y2K2,Q9Y2U5,Q9Y4K4,Q9Y6E0,Q9Y6R4"
37,BUMETANIDE,"O43570,P00915,P00918,P22748,P23280,P35218,P43166,P55011,Q16790,Q9H2X9,Q9ULX7,Q9Y2D0"
38,Bimatoprost,P42330
39,Budesonide,P08235
40,CAMPTOTHECIN,"O14757,O15439,P09651,Q13547"
41,CANERTINIB (CI-1033),"O14578,O14976,O15197,O43318,O94804,P00519,P00533,P07947,P07948,P07949,P08581,P08631,P09619,P16234,P17948,P21860,P29320,P29322,P29323,P29376,P30530,P31152,P35590,P36507,P36888,P37173,P41240,P42680,P42684,P42685,P45984,P51451,P51813,P52333,P53779,P54756,P54760,P54762,P54764,P57058,Q02750,Q04771,Q06187,Q06418,Q08345,Q08881,Q09013,Q13163,Q13627,Q13882,Q15303,Q15375,Q15418,Q15569,Q16539,Q16659,Q56UN5,Q59H18,Q5S007,Q6PHR2,Q8N4C8,Q8NE63,Q8NI60,Q8TDR2,Q92630,Q96D53,Q96GD4,Q99759,Q9BRS2,Q9BUB5,Q9H2G2,Q9H3Y6,Q9HBH9,Q9NRP7,Q9NSY1,Q9NWZ3,Q9NYL2,Q9UEE5,Q9UF33,Q9UM73,Q9UQB9,Q9Y2K2,Q9Y2U5,Q9Y4K4,Q9Y616,Q9Y6R4"
42,CARVEDILOL,"O15244,O15245,P07550,P08588,P13945,Q12809"
43,CD 437,"P00374,P06865,P07686"
44,CEDIRANIB (AZD2171),"O00444,O14976,O15197,O75460,O94804,O95819,P00519,P00533,P07947,P07948,P07949,P08581,P08631,P09619,P11362,P16234,P17948,P21802,P21860,P22607,P29320,P29322,P29376,P35590,P35916,P35968,P36507,P36896,P42684,P42685,P51451,P54760,Q02763,Q04771,Q06187,Q06418,Q08345,Q12866,Q13163,Q13882,Q15303,Q16539,Q16832,Q56UN5,Q8IVH8,Q8N4C8,Q8TDR2,Q92918,Q96GD4,Q9BQI3,Q9BYT3,Q9H2G2,Q9H2K8,Q9P289,Q9UF33,Q9UM73,Q9UQB9,Q9Y4K4"
45,CELECOXIB,"O14684,O43570,P00403,P00918,P07451,P09917,P16050,P22748,P23219,P23280,P35218,P35354,P43166,Q13547,Q16539,Q16790,Q9UBN7,Q9ULX7,Q9Y2D0"
46,CHLOROQUINE,"P04156,P05067,P16083,P20309,P42345,P56817,Q12809,Q96L73,Q99720,Q9BYF1"
47,CHLOROXINE,"P09917,P16050,P18054,P41145"
48,CITALOPRAM,"P11229,P23975,P28335,P31645,P35348,Q12809"
49,CLADRIBINE,"P35398,Q13285"
50,CLINDAMYCIN PALMITATE HCL,"P05413,P18031"
51,CLOBETASOL PROPIONATE,P08684
52,CLOTRIMAZOLE,"O15554,O94759,P05093,P05177,P07550,P08684,P11511,P11712,P22001,P33261,Q12809,Q13936,Q14994,Q96RI1"
53,CYPROHEPTADINE,"P08172,P08173,P08908,P08912,P11229,P14416,P20309,P21728,P23975,P28223,P28335,P31645,P34969,P35367,P35462,P41595,P50406,Q9H3N8"
54,CYTARABINE HYDROCHLORIDE,"Q00987,Q9Y6Q9"
55,CYTISINE,"P02708,P36544"
56,Caffeine citrate,"P22303,P29274,Q12809"
57,Calcitriol,"P11473,Q07973"
58,Chenodeoxycholic acid,"Q8TDU6,Q96RI1"
59,Chlorphenamine maleate,"P35367,P41595,Q12809,Q9H3N8"
60,Ciliobrevin D,P43003
61,Clemastine fumarate,"O15245,P08912,P20309,Q12809,Q99720"
62,Cyanein,"P04156,P51843"
63,Cyproterone acetate,P10275
64,DASATINIB,"O00506,O14965,O14976,O15197,O43283,O43318,O60674,O94804,O95819,P00519,P00533,P04049,P06239,P07333,P07947,P07948,P07949,P08631,P08684,P09619,P0C1S8,P10721,P11362,P12931,P15056,P16234,P17948,P21802,P21860,P22607,P24941,P27037,P29317,P29320,P29322,P29323,P29597,P30291,P35968,P36507,P36896,P37173,P41240,P42345,P42680,P42684,P42685,P43405,P51451,P51813,P52333,P53667,P53671,P54753,P54756,P54760,P54762,P54764,P57059,Q01538,Q02750,Q04771,Q06187,Q07912,Q08345,Q09013,Q13163,Q13705,Q13882,Q15303,Q15569,Q15759,Q16539,Q16832,Q2M2I8,Q52WX2,Q56UN5,Q59H18,Q5VT25,Q6DT37,Q6PHR2,Q86Y07,Q8IVH8,Q8N4C8,Q8NG66,Q8NI60,Q8TDR2,Q92918,Q96GD4,Q99640,Q99759,Q9H0K1,Q9H1R3,Q9H2G2,Q9H2K8,Q9H3Y6,Q9NRP7,Q9NYL2,Q9P289,Q9P2K8,Q9UBE8,Q9UF33,Q9UNQ0,Q9Y2K2,Q9Y2U5,Q9Y4K4,Q9Y5S2,Q9Y6R4"
65,DAUNORUBICIN HYDROCHLORIDE,"P07900,P11388,P35398,P61981,Q13285,Q13547,Q9BY41,Q9UBN7"
66,DEXAMETHASONE,"P04054,P04150,P08235,P10275,P14555,P35354,P39877"
67,DICHLORPHENAMIDE,"O43570,P00915,P00918,P22748,P23280,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
68,DIPYRIDAMOLE,"O15244,O15439,O60658,O76074,Q08499,Q13946,Q86TP1,Q99808,Q9UNQ0,Q9Y233"
69,DISULFIRAM,"O60240,P00352,P05091,P28300,P29466,P30556,P35414,Q00G26,Q99685,Q9H9B1"
70,DOCETAXEL,"P00533,P52732,Q02643,Q9HC29"
71,DOFETILIDE,Q12809
72,DOMPERIDONE,"O15244,P14416,P19793,P35462,Q06278,Q12809,Q96FL8"
73,DOPAMINE,"P08908,P14416,P21728,P21917,P21918,P23975,P35462,P48039,P49286,Q01959,Q96RJ0"
74,DORSOMORPHIN,"P07947,P12644,P17948,P29317,P35968,P37173,P49760,Q04771,Q13873,Q15418,Q9BUB5,Q9Y478"
75,DOXORUBICIN,"O14965,P07900,P08183,P11388,P35398,P61981,Q02880,Q13285,Q16665,Q9NZ45,Q9UBM7"
76,DRONEDARONE,Q12809
77,Daidzin,P05091
78,Dapagliflozin,"P13866,P31639,Q8WWX8,Q9NY91"
79,Dehydroepiandrosterone,"P04278,Q8TDU6"
80,Diclofenac sodium,"P02768,P10145,P35354,Q4U2R8"
81,Digoxin,"P40763,P51449"
82,Diltiazem hydrochloride,"P08684,Q13698,Q13936"
83,Doramapimod,"O14578,O15146,O15264,O43318,O94804,O95819,P00519,P00533,P04049,P04792,P05771,P07333,P07947,P07948,P07949,P08631,P09619,P10721,P11362,P12931,P15056,P16234,P17948,P28482,P29317,P29320,P29322,P29323,P29376,P33981,P35590,P35916,P35968,P36888,P42684,P42685,P45983,P45984,P49336,P50613,P51451,P53778,P53779,P54753,P54756,P54760,P54762,P54764,Q00535,Q02763,Q05397,Q05655,Q08345,Q12866,Q14004,Q15375,Q15759,Q16539,Q16832,Q5VT25,Q6DT37,Q8N4C8,Q8NFD2,Q8TD08,Q9BUB5,Q9BWU1,Q9H2G2,Q9HBH9,Q9NYL2,Q9UBE8,Q9UF33,Q9Y5S2"
84,Drospirenone,"P06401,P08235,P10275"
85,ELACRIDAR,"P08684,Q9UNQ0"
86,EMODIN,"O75365,P05177,P20618,P28074,P68400,Q16678,Q8NEV1,Q9C0B1"
87,ENZALUTAMIDE (MDV3100),"P07288,P10275"
88,EPINEPHRINE,"P07550,P08588,P13945,P14416,P35348"
